gene_id	amr_class	munk2018_amr_group	new_amr_group	gene_length_bp	short_gene
dfrA1_2_HM055363	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_2
blaTEM-156_1_AM941159	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-156_1
aadA22_1_AM261837	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA22_1
qnrS3_1_EU077611	Quinolone	Quinolone	Quinolone	656	qnrS3_1
qnrB82_1_KX372672	Quinolone	Quinolone	Quinolone	645	qnrB82_1
aadD_1_AF181950	Aminoglycoside	Aminoglycoside	Aminoglycoside	771	aadD_1
sul2_11_AY232670	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_11
blaTEM-55_1_DQ286729	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-55_1
blaTEM-164_1_EU274580	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-164_1
lsa(A)_3_AY737526	Macrolide	Macrolide	Macrolide	1497	lsa(A)_3
erm(C)_14_M12730	Macrolide	Macrolide	Macrolide	735	erm(C)_14
mecA_4_AB546266	Beta-Lactam	Beta-Lactam	Beta-Lactam	2007	mecA_4
erm(C)_12_Y09003	Macrolide	Macrolide	Macrolide	735	erm(C)_12
blaOXA-272_1_LSAL01000001	Beta-Lactam	Beta-Lactam	Beta-Lactam	822	blaOXA-272_1
fosD_1_KC989517	Fosfomycin	Other	Other	420	fosD_1
aph(2__)-Ib_1_AF337947	Aminoglycoside	Aminoglycoside	Aminoglycoside	900	aph(2__)-Ib_1
erm(B)_20_AF109075	Macrolide	Macrolide	Macrolide	738	erm(B)_20
tet(S/M)_2_AY534326	Tetracycline	Tetracycline	Tetracycline	1935	tet(S/M)_2
floR_2_AF118107	Phenicol	Phenicol	Phenicol	1215	floR_2
tet(O/W/32/O)_1_EF065523	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W/32/O)_1
aph(3__)-Ib_3_AF321550	Aminoglycoside	Aminoglycoside	Aminoglycoside	804	aph(3__)-Ib_3
blaROB-1_2_AF022114	Beta-Lactam	Beta-Lactam	Beta-Lactam	918	blaROB-1_2
blaOXA-450_1_KR061502	Beta-Lactam	Beta-Lactam	Beta-Lactam	774	blaOXA-450_1
dfrA20_1_AJ605332	Trimethoprim	Trimethoprim	Trimethoprim	510	dfrA20_1
aph(2__)-Ib_3_KF652098	Aminoglycoside	Aminoglycoside	Aminoglycoside	900	aph(2__)-Ib_3
blaOXA-320_1_KF151169	Beta-Lactam	Beta-Lactam	Beta-Lactam	831	blaOXA-320_1
aph(3_)-Ia_3_EF015636	Aminoglycoside	Aminoglycoside	Aminoglycoside	816	aph(3_)-Ia_3
sul1_19_DQ125241	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_19
mecA1_2_AY820253	Beta-Lactam	Beta-Lactam	Beta-Lactam	1998	mecA1_2
dfrA17_1_FJ460238	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA17_1
mcr-1.1_1_KP347127	Colistin	Other	Colistin	1626	mcr-1.1_1
tet(Y)_1_EF495198	Tetracycline	Tetracycline	Tetracycline	1176	tet(Y)_1
erm(45)_1_LN680996	Macrolide	Macrolide	Macrolide	738	erm(45)_1
dfrA16_2_AF174129	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA16_2
fosB_1_X54227	Fosfomycin	Other	Other	420	fosB_1
erm(35)_1_AF319779	Macrolide	Macrolide	Macrolide	801	erm(35)_1
aadA13_2_NC010643	Aminoglycoside	Aminoglycoside	Aminoglycoside	798	aadA13_2
aac(3)-VIa_2_NC_009838	Aminoglycoside	Aminoglycoside	Aminoglycoside	903	aac(3)-VIa_2_NC
blaTEM-79_1_AF190692	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-79_1
aac(3)-IId_1_EU022314	Aminoglycoside	Aminoglycoside	Aminoglycoside	861	aac(3)-IId_1
blaTEM-70_1_AF188199	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-70_1
dfrA17_10_AM937244	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA17_10
dfrA5_1_X12868	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA5_1
blaZ_77_FGNH01000009	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_77
otr(C)_1_AY509111	Tetracycline	Tetracycline	Tetracycline	1056	otr(C)_1
vga(C)_1_FN806792	Macrolide	Macrolide	Macrolide	1569	vga(C)_1
vat(E)_8_AY043209	Macrolide	Macrolide	Macrolide	645	vat(E)_8
blaCGB-1_1_EF672680	Beta-Lactam	Beta-Lactam	Beta-Lactam	729	blaCGB-1_1
mph(N)_1_KF648874	Macrolide	Macrolide	Macrolide	909	mph(N)_1
blaZ_8_HE993884	Beta-Lactam	Beta-Lactam	Beta-Lactam	852	blaZ_8
blaOXA-448_1_KR061497	Beta-Lactam	Beta-Lactam	Beta-Lactam	747	blaOXA-448_1
aac(6_)-Iaj_1_AB709942	Aminoglycoside	Aminoglycoside	Aminoglycoside	555	aac(6_)-Iaj_1
tet(T)_1_L42544	Tetracycline	Tetracycline	Tetracycline	1956	tet(T)_1
erm(B)_22_X52632	Macrolide	Macrolide	Macrolide	735	erm(B)_22
mecA_6_BX571856	Beta-Lactam	Beta-Lactam	Beta-Lactam	2007	mecA_6
qnrS4_1_FJ418153	Quinolone	Quinolone	Quinolone	657	qnrS4_1
dfrA12_8_AM040708	Trimethoprim	Trimethoprim	Trimethoprim	498	dfrA12_8
blaOXA-452_1_KR061505	Beta-Lactam	Beta-Lactam	Beta-Lactam	774	blaOXA-452_1
blaOXA-518_1_KU739134	Beta-Lactam	Beta-Lactam	Beta-Lactam	747	blaOXA-518_1
cat(pC221)_1_X02529	Phenicol	Phenicol	Phenicol	648	cat(pC221)_1
erm(33)_1_AJ579365	Macrolide	Macrolide	Macrolide	732	erm(33)_1
dfrA1_16_FJ001872	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_16
tet(K)_2_J01764	Tetracycline	Tetracycline	Tetracycline	888	tet(K)_2
sul2_12_AF497970	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_12
cepA-44_1_U05885	Beta-Lactam	Beta-Lactam	Beta-Lactam	903	cepA-44_1
fosB_4_CP000029	Fosfomycin	Other	Other	429	fosB_4
nimD_1_X76949	Nitroimidazole	Other	Other	495	nimD_1
erm(T)_3_AF310974	Macrolide	Macrolide	Macrolide	735	erm(T)_3
VanLXY_1_EU250284	Vancomycin	Other	Vancomycin	1624	VanLXY_1
blaZ_94_LYRW01000005	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_94
aph(3_)-Ia_8_Y00452	Aminoglycoside	Aminoglycoside	Aminoglycoside	816	aph(3_)-Ia_8
fosB1_1_CP001903	Fosfomycin	Other	Other	417	fosB1_1
blaOXA-491_1_KU721148	Beta-Lactam	Beta-Lactam	Beta-Lactam	762	blaOXA-491_1
blaOXA-461_1_KR061509	Beta-Lactam	Beta-Lactam	Beta-Lactam	762	blaOXA-461_1
tet(O/W/O)-3_1_EF065524	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W/O)-3_1
blaEBR-1_1_AF416700	Beta-Lactam	Beta-Lactam	Beta-Lactam	708	blaEBR-1_1
blaTEM-185_1_JF795538	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-185_1
blaPAO_3_FJ666073	Beta-Lactam	Beta-Lactam	Beta-Lactam	1194	blaPAO_3
aph(3_)-Ia_10_EU855787	Aminoglycoside	Aminoglycoside	Aminoglycoside	816	aph(3_)-Ia_10
blaTEM-52B_1_AF027199	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-52B_1
blaTEM-106_1_AY101578	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-106_1
erm(B)_9_AF299292	Macrolide	Macrolide	Macrolide	738	erm(B)_9
qnrS1_1_AB187515	Quinolone	Quinolone	Quinolone	657	qnrS1_1
erm(B)_21_U35228	Macrolide	Macrolide	Macrolide	738	erm(B)_21
catB_1_M93113	Phenicol	Phenicol	Phenicol	660	catB_1
erm(B)_7_AF368302	Macrolide	Macrolide	Macrolide	711	erm(B)_7
mef(C)_1_AB571865	Macrolide	Macrolide	Macrolide	1224	mef(C)_1
blaIMP-17_1_AJ512502	Beta-Lactam	Beta-Lactam	Beta-Lactam	741	blaIMP-17_1
ole(B)_1_L36601	Macrolide	Macrolide	Macrolide	1710	ole(B)_1
mph(G)_1_AB571865	Macrolide	Macrolide	Macrolide	885	mph(G)_1
tet(W/32/O)_4_AM710605	Tetracycline	Tetracycline	Tetracycline	1920	tet(W/32/O)_4
dfrA16_1_AF077008	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA16_1
rmtG_1_JX486113	Aminoglycoside	Aminoglycoside	Aminoglycoside	795	rmtG_1
blaOXA-489_1_CP013733	Beta-Lactam	Beta-Lactam	Beta-Lactam	774	blaOXA-489_1
blaZ_11_AJ400722	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_11
sul2_10_AM183225	Sulphonamide	Sulphonamide	Sulphonamide	819	sul2_10
aadA7_1_AF224733	Aminoglycoside	Aminoglycoside	Aminoglycoside	798	aadA7_1
blaTEM-115_1_AF535127	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-115_1
blaCMY-15_1_AJ555823	Beta-Lactam	Beta-Lactam	Beta-Lactam	1146	blaCMY-15_1
oqxB_1_EU370913	Quinolone	Quinolone	Quinolone	3153	oqxB_1
blaCTX-M-188_1_KX676491	Beta-Lactam	Beta-Lactam	Beta-Lactam	876	blaCTX-M-188_1
blaTEM-102_1_AY040093	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-102_1
blaTEM-196_1_JQ034306	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-196_1
aac(3)-VIa_1_M88012	Aminoglycoside	Aminoglycoside	Aminoglycoside	900	aac(3)-VIa_1
dfrA1_6_FJ215857	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_6
tet(D)_1_AF467077	Tetracycline	Tetracycline	Tetracycline	1185	tet(D)_1
blaSHV-12_1_KF976405	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaSHV-12_1
erm(X)_2_X51472	Macrolide	Macrolide	Macrolide	762	erm(X)_2
blaTEM-230_1_MG821377	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-230_1
fexA_1_AJ549214	Phenicol	Phenicol	Phenicol	1428	fexA_1
blaCMY-61_1_JF460795	Beta-Lactam	Beta-Lactam	Beta-Lactam	1143	blaCMY-61_1
aph(2__)-Ic_1_U51479	Aminoglycoside	Aminoglycoside	Aminoglycoside	921	aph(2__)-Ic_1
qnrD1_1_FJ228229	Quinolone	Quinolone	Quinolone	645	qnrD1_1
aadA1b_1_M95287	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA1b_1
cepA_1_U05887	Beta-Lactam	Beta-Lactam	Beta-Lactam	903	cepA_1_U0
erm(X)_1_M36726	Macrolide	Macrolide	Macrolide	855	erm(X)_1
aph(3_)-Ia_9_EU722351	Aminoglycoside	Aminoglycoside	Aminoglycoside	816	aph(3_)-Ia_9
blaOXA-58_1_AY665723	Beta-Lactam	Beta-Lactam	Beta-Lactam	843	blaOXA-58_1
lsa(C)_1_HM990671	Macrolide	Macrolide	Macrolide	1479	lsa(C)_1
blaROB-1_1_DQ840517	Beta-Lactam	Beta-Lactam	Beta-Lactam	918	blaROB-1_1
cmr_1_U43535	Macrolide	Macrolide	Macrolide	1380	cmr_1
dfrA15_1_AF156486	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA15_1
blaOXA-142_1_LC169567	Beta-Lactam	Beta-Lactam	Beta-Lactam	801	blaOXA-142_1
blaOXA-464_1_KU721146	Beta-Lactam	Beta-Lactam	Beta-Lactam	762	blaOXA-464_1
blaTEM-213_1_LJEE02000034	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-213_1
blaTEM-186_1_JN227084	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-186_1
tet(M)_8_X04388	Tetracycline	Tetracycline	Tetracycline	1920	tet(M)_8
blaTEM-30_1_AJ437107	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-30_1
blaTEM-232_1_MH079593	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-232_1
blaTEM-166_1_FJ197316	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-166_1
sul1_25_AY878717	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_25
blaSHV-81_1_AM176556	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaSHV-81_1
blaOXA-74_1_EU161636	Beta-Lactam	Beta-Lactam	Beta-Lactam	801	blaOXA-74_1
tva(A)_1_ENA_SOX29786	Macrolide	Macrolide	Macrolide	1518	tva(A)_1_ENA
blaZ_91_FKQH01000022	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_91
blaCMY-44_1_FJ437066	Beta-Lactam	Beta-Lactam	Beta-Lactam	1134	blaCMY-44_1
blaZ_82_FGSJ01000003	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_82
dfrA5_4_AY139589	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA5_4
blaZ_96_LNDI01000019	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_96
cepA-29_1_U05884	Beta-Lactam	Beta-Lactam	Beta-Lactam	903	cepA-29_1
tet(39)_1_KT346360	Tetracycline	Tetracycline	Tetracycline	1122	tet(39)_1
blaSHV-128_1_GU932590	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaSHV-128_1
qnrB5_1_DQ303919	Quinolone	Quinolone	Quinolone	645	qnrB5_1
aac(3)-IVa_1_X01385	Aminoglycoside	Aminoglycoside	Aminoglycoside	786	aac(3)-IVa_1
blaTEM-10_1_AF093512	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-10_1
ant(2__)-Ia_1_X04555	Aminoglycoside	Aminoglycoside	Aminoglycoside	534	ant(2__)-Ia_1
cfiA14_1_FM200789	Beta-Lactam	Beta-Lactam	Beta-Lactam	750	cfiA14_1
tet(J)_2_AF038993	Tetracycline	Tetracycline	Tetracycline	1197	tet(J)_2
ant(2__)-Ia_7_DQ018384	Aminoglycoside	Aminoglycoside	Aminoglycoside	534	ant(2__)-Ia_7
mph(C)_4_AM397632	Macrolide	Macrolide	Macrolide	900	mph(C)_4
blaTEM-130_1_AJ866988	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-130_1
fosA7_1_LAPJ01000014	Fosfomycin	Other	Other	423	fosA7_1
cfiA2_1_AB087226	Beta-Lactam	Beta-Lactam	Beta-Lactam	750	cfiA2_1
blaZ_79_KU607584	Beta-Lactam	Beta-Lactam	Beta-Lactam	888	blaZ_79
blaZ_111_AJCN01000010	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_111
blaCARB-16_1_HF953351	Beta-Lactam	Beta-Lactam	Beta-Lactam	897	blaCARB-16_1
tet(31)_1_GQ283908	Tetracycline	Tetracycline	Tetracycline	1233	tet(31)_1
cat_5_U35036	Phenicol	Phenicol	Phenicol	648	cat_5
tet(S)_2_L09756	Tetracycline	Tetracycline	Tetracycline	1926	tet(S)_2
vga(E)_1_FR772051	Macrolide	Macrolide	Macrolide	1575	vga(E)_1
aph(6)-Id_5_18676889	Aminoglycoside	Aminoglycoside	Aminoglycoside	837	aph(6)-Id_5
tet(O/W/32/O)_2_FM164392	Tetracycline	Tetracycline	Tetracycline	1920	tet(O/W/32/O)_2
str_3_AM932524	Aminoglycoside	Aminoglycoside	Aminoglycoside	564	str_3
erm(C)_1_V01278	Macrolide	Macrolide	Macrolide	735	erm(C)_1
sul1_30_JF262178	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_30
aph(3_)-IIIa_1_AF330699	Aminoglycoside	Aminoglycoside	Aminoglycoside	795	aph(3_)-IIIa_1
dfrA1_17_FJ489928	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_17
tet(L)_7_X60828	Tetracycline	Tetracycline	Tetracycline	1377	tet(L)_7
dfrA13_1_Z50802	Trimethoprim	Trimethoprim	Trimethoprim	498	dfrA13_1
aph(3_)-IIIa_3_AB247327	Aminoglycoside	Aminoglycoside	Aminoglycoside	795	aph(3_)-IIIa_3
sul1_8_JN581942	Sulphonamide	Sulphonamide	Sulphonamide	837	sul1_8
lnu(E)_1_KF287643	Macrolide	Macrolide	Macrolide	522	lnu(E)_1
aac(6_)-Iaa_1_NC_003197	Aminoglycoside	Aminoglycoside	Aminoglycoside	438	aac(6_)-Iaa_1_NC
tet(S)_3_X92946	Tetracycline	Tetracycline	Tetracycline	1941	tet(S)_3
optrA_9_KT892063	Oxazolidinone	Other	Other	1968	optrA_9
tetA(P)_3_AB001076	Tetracycline	Tetracycline	Tetracycline	1263	tetA(P)_3
erm(C)_9_Y09001	Macrolide	Macrolide	Macrolide	735	erm(C)_9
tet(W)_3_AJ427421	Tetracycline	Tetracycline	Tetracycline	1920	tet(W)_3
VanHDX_6_DQ172830	Vancomycin	Other	Vancomycin	2610	VanHDX_6
blaZ_32_JINH01000005	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_32
sul2_13_AJ289135	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_13
ere(D)_1_KP265721	Macrolide	Macrolide	Macrolide	1227	ere(D)_1
blaOXA-10_1_J03427	Beta-Lactam	Beta-Lactam	Beta-Lactam	801	blaOXA-10_1
tet(G)_2_AF133140	Tetracycline	Tetracycline	Tetracycline	1176	tet(G)_2
aadA11_1_AY144590	Aminoglycoside	Aminoglycoside	Aminoglycoside	846	aadA11_1
msr(E)_1_FR751518	Macrolide	Macrolide	Macrolide	1476	msr(E)_1
dfrB1_1_U36276	Trimethoprim	Trimethoprim	Trimethoprim	237	dfrB1_1
blaOXA-1_1_HQ170510	Beta-Lactam	Beta-Lactam	Beta-Lactam	831	blaOXA-1_1
aac(6_)-IIa_1_M29695	Aminoglycoside	Aminoglycoside	Aminoglycoside	555	aac(6_)-IIa_1
mph(E)_1_DQ839391	Macrolide	Macrolide	Macrolide	885	mph(E)_1
sul1_39_AY522923	Sulphonamide	Sulphonamide	Sulphonamide	828	sul1_39
lnu(F)_2_DQ836009	Macrolide	Macrolide	Macrolide	822	lnu(F)_2
vga(B)_1_U82085	Macrolide	Macrolide	Macrolide	1659	vga(B)_1
erm(A)_2_AF002716	Macrolide	Macrolide	Macrolide	732	erm(A)_2
erm(C)_3_M17990	Macrolide	Macrolide	Macrolide	735	erm(C)_3
erm(F)_1_M14730	Macrolide	Macrolide	Macrolide	801	erm(F)_1
aph(3_)-IIIa_2_AJ490186	Aminoglycoside	Aminoglycoside	Aminoglycoside	795	aph(3_)-IIIa_2
aph(2__)-Ia_3_AJ536195	Aminoglycoside	Aminoglycoside	Aminoglycoside	1440	aph(2__)-Ia_3
dfrA1_1_FJ591049	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA1_1
cfr(B)_1_KM359439	Phenicol	Phenicol	Phenicol	1050	cfr(B)_1
aadA24_1_DQ677333	Aminoglycoside	Aminoglycoside	Aminoglycoside	780	aadA24_1_DQ
dfrA12_10_FM877486	Trimethoprim	Trimethoprim	Trimethoprim	498	dfrA12_10
erm(B)_2_K00551	Macrolide	Macrolide	Macrolide	738	erm(B)_2
blaOXA-460_1_KR061508	Beta-Lactam	Beta-Lactam	Beta-Lactam	762	blaOXA-460_1
dfrA17_8_AM932673	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA17_8
blaTEM-76_1_AF190694	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-76_1
blaTEM-2_1_X54606	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-2_1
tet(A)_2_X00006	Tetracycline	Tetracycline	Tetracycline	1200	tet(A)_2
blaTEM-168_1_FJ919776	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-168_1
VanC1XY_2_DQ022190	Vancomycin	Other	Vancomycin	1601	VanC1XY_2
blaSHV-45_1_AF547625	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaSHV-45_1
VanC4XY_3_EU151756	Vancomycin	Other	Vancomycin	1622	VanC4XY_3
dfrA12_9_DQ995286	Trimethoprim	Trimethoprim	Trimethoprim	498	dfrA12_9
blaTEM-104_1_AF516719	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-104_1
fosA_5_AFBO01000747	Fosfomycin	Other	Other	420	fosA_5
blaTEM-178_1_X97254	Beta-Lactam	Beta-Lactam	Beta-Lactam	858	blaTEM-178_1
blaTEM-12_1_M88143	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-12_1
blaTEM-22_1_Y17583	Beta-Lactam	Beta-Lactam	Beta-Lactam	858	blaTEM-22_1
aac(3)-Ib_1_L06157	Aminoglycoside	Aminoglycoside	Aminoglycoside	531	aac(3)-Ib_1
blaTEM-124_1_AY327540	Beta-Lactam	Beta-Lactam	Beta-Lactam	858	blaTEM-124_1
blaTEM-153_1_KC149518	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-153_1
blaTEM-32_1_CXLQ01000061	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-32_1
blaOXA-280_1_APPZ01000001	Beta-Lactam	Beta-Lactam	Beta-Lactam	828	blaOXA-280_1
blaTEM-227_1_KY418040	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-227_1
blaTEM-54_1_AF104442	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-54_1
oqxA_1_EU370913	Quinolone	Quinolone	Quinolone	1176	oqxA_1
VanC4XY_1_EU151752	Vancomycin	Other	Vancomycin	1622	VanC4XY_1
blaTEM-125_1_AY628176	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-125_1
aadA8_1_AF326210	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA8_1
blaTEM-127_1_AY368236	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-127_1
aadA8b_2_AM040708	Aminoglycoside	Aminoglycoside	Aminoglycoside	792	aadA8b_2
blaSHV-110_1_HQ877615	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaSHV-110_1
VanC2XY_1_EU151754	Vancomycin	Other	Vancomycin	1622	VanC2XY_1
blaTEM-83_1_AF427129	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-83_1
aadA10_1_U37105	Aminoglycoside	Aminoglycoside	Aminoglycoside	834	aadA10_1
blaTEM-95_1_AJ308558	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-95_1
sul2_7_HM486907	Sulphonamide	Sulphonamide	Sulphonamide	852	sul2_7
cfr_1_AM408573	Mac/Oxa/Phen	Other	Other	1050	cfr_1
erm(D)_2_L08389	Macrolide	Macrolide	Macrolide	864	erm(D)_2
fexA_2_AM408573	Phenicol	Phenicol	Phenicol	1428	fexA_2
cepA-49_1_U05886	Beta-Lactam	Beta-Lactam	Beta-Lactam	903	cepA-49_1
tet(A)_5_AJ419171	Tetracycline	Tetracycline	Tetracycline	1200	tet(A)_5
sul2_15_FJ968160	Sulphonamide	Sulphonamide	Sulphonamide	816	sul2_15
blaTEM-231_1_MG821378	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-231_1
blaTEM-215_1_KP050492	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-215_1
dfrA14_2_Z50805	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA14_2
sul1_22_AY115475	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_22
blaTEM-148_1_AM087454	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-148_1
qnrS9_1_KF732714	Quinolone	Quinolone	Quinolone	657	qnrS9_1
dfrA14_5_DQ388123	Trimethoprim	Trimethoprim	Trimethoprim	483	dfrA14_5
sul1_32_EF592571	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_32
blaZ_112_AKGL01000044	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_112
sul1_20_JF262165	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_20
blaTEM-216_1_KF944358	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-216_1
sul1_24_EU117158	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_24
blaTEM-129_1_AJ746225	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-129_1
sul1_21_AJ971344	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_21
blaTEM-154_1_FJ807656	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-154_1
sul1_31_AM040449	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_31
blaTEM-96_1_AY092401	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-96_1
sul1_23_AJ621187	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_23
sul1_37_AF188331	Sulphonamide	Sulphonamide	Sulphonamide	840	sul1_37
blaTEM-34_1_KC292503	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-34_1
blaTEM-29_1_DQ269440	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-29_1
sul1_10_DQ143913	Sulphonamide	Sulphonamide	Sulphonamide	831	sul1_10
blaTEM-145_1_DQ105528	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-145_1
dfrK_2_FN677369	Trimethoprim	Trimethoprim	Trimethoprim	492	dfrK_2
blaZ_16_JBTH01000015	Beta-Lactam	Beta-Lactam	Beta-Lactam	849	blaZ_16
blaZ_123_NC_013653	Beta-Lactam	Beta-Lactam	Beta-Lactam	846	blaZ_123_NC
blaCTX-M-157_1_KM211510	Beta-Lactam	Beta-Lactam	Beta-Lactam	876	blaCTX-M-157_1
blaTEM-201_1_JX310327	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-201_1
blaTEM-126_1_AY628199	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-126_1
msr(C)_2_AF313494	Macrolide	Macrolide	Macrolide	1479	msr(C)_2
blaTEM-206_1_KC783461	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-206_1
blaTEM-207_1_KC818234	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-207_1
qnrB36_1_JN173058	Quinolone	Quinolone	Quinolone	645	qnrB36_1
mph(C)_5_AM180067	Macrolide	Macrolide	Macrolide	900	mph(C)_5
qnrB40_1_JN166689	Quinolone	Quinolone	Quinolone	645	qnrB40_1
dfrA7_1_AB161450	Trimethoprim	Trimethoprim	Trimethoprim	474	dfrA7_1
blaTEM-195_1_JN935137	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-195_1
qnrB71_1_KC580660	Quinolone	Quinolone	Quinolone	645	qnrB71_1
qnrB56_1_JX259317	Quinolone	Quinolone	Quinolone	645	qnrB56_1
blaCMY-12_1_Y16785	Beta-Lactam	Beta-Lactam	Beta-Lactam	1143	blaCMY-12_1
blaTEM-183_1_HQ529916	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-183_1
blaTEM-234_1_MH243353	Beta-Lactam	Beta-Lactam	Beta-Lactam	861	blaTEM-234_1
qnrB10_2_HM439644	Quinolone	Quinolone	Quinolone	645	qnrB10_2
qnrB10_1_DQ631414	Quinolone	Quinolone	Quinolone	645	qnrB10_1
